# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: suh.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   00007f41   000002a4   x29_t4     000000aa
              37   N   000002a4   01ee902b   000002a6   x30_t5     ffff0000
              39   N   000002a6   000edf83   000002aa   ---        --------
              41   N   000002aa   00006ec1   000002ae   x31_t6     0000ffff
              42   N   000002ae   00001efd   000002b0   x29_t4     00010000
              43   N   000002b0   00004e05   000002b2   x29_t4     0000ffff
              44   N   000002b2   13df9363   000002b4   x28_t3     00000001
              45   N   000002b4   0aa00e93   000002b8   ---        --------
              46   N   000002b8   00006f41   000002bc   x29_t4     000000aa
              47   N   000002bc   00001f7d   000002be   x30_t5     00010000
              48   N   000002be   01ee902b   000002c0   x30_t5     0000ffff
              50   N   000002c0   000edf83   000002c4   ---        --------
              52   N   000002c4   00004e81   000002c8   x31_t6     00000000
              53   N   000002c8   00004e09   000002ca   x29_t4     00000000
              54   N   000002ca   11df9763   000002cc   x28_t3     00000002
              55   N   000002cc   0aa00e93   000002d0   ---        --------
              56   N   000002d0   00006f45   000002d4   x29_t4     000000aa
              57   N   000002d4   01ee902b   000002d6   x30_t5     00011000
              59   N   000002d6   000edf83   000002da   ---        --------
              61   N   000002da   00004e85   000002de   x31_t6     00000001
              62   N   000002de   00004e0d   000002e0   x29_t4     00000001
              63   N   000002e0   0fdf9c63   000002e2   x28_t3     00000003
              64   N   000002e2   00006ead   000002e6   ---        --------
              65   N   000002e6   a00e8e93   000002e8   x29_t4     0000b000
              66   N   000002e8   dead0f37   000002ec   x29_t4     0000aa00
              67   N   000002ec   01ee912b   000002f0   x30_t5     dead0000
              69   N   000002f0   002edf83   000002f4   ---        --------
              71   N   000002f4   00006eb9   000002f8   x31_t6     0000dead
              72   N   000002f8   eade8e93   000002fa   x29_t4     0000e000
              73   N   000002fa   00004e11   000002fe   x29_t4     0000dead
              74   N   000002fe   0ddf9d63   00000300   x28_t3     00000004
              75   N   00000300   00006ead   00000304   ---        --------
              76   N   00000304   a00e8e93   00000306   x29_t4     0000b000
              77   N   00000306   6ead0f37   0000030a   x29_t4     0000aa00
              79   N   0000030a   a00e922b   0000030e   x30_t5     dead0000
              82   N   0000030e   004edf83   00000312   ---        --------
              84   N   00000312   00006eb9   00000316   x31_t6     0000dead
              85   N   00000316   eade8e93   00000318   x29_t4     0000e000
              86   N   00000318   00004e15   0000031c   x29_t4     0000dead
              87   N   0000031c   0bdf9e63   0000031e   x28_t3     00000005
              88   N   0000031e   00006ead   00000322   ---        --------
              89   N   00000322   a00e8e93   00000324   x29_t4     0000b000
              90   N   00000324   dead0f37   00000328   x29_t4     0000aa00
              91   N   00000328   01ee932b   0000032c   x30_t5     dead0000
              93   N   0000032c   006edf83   00000330   ---        --------
              95   N   00000330   00006eb9   00000334   x31_t6     0000dead
              96   N   00000334   eade8e93   00000336   x29_t4     0000e000
              97   N   00000336   00004e19   0000033a   x29_t4     0000dead
              98   N   0000033a   09df9f63   0000033c   x28_t3     00000006
              99   N   0000033c   00006ead   00000340   ---        --------
             100   N   00000340   a00e8e93   00000342   x29_t4     0000b000
             101   N   00000342   6ead0f37   00000346   x29_t4     0000aa00
             103   N   00000346   a00e9f2b   0000034a   x30_t5     dead0000
             106   N   0000034a   ffeedf83   0000034e   ---        --------
             108   N   0000034e   00006eb9   00000352   x31_t6     0000dead
             109   N   00000352   eade8e93   00000354   x29_t4     0000e000
             110   N   00000354   00004e1d   00000358   x29_t4     0000dead
             111   N   00000358   09df9063   0000035a   x28_t3     00000007
             112   N   0000035a   00006ead   0000035e   ---        --------
             113   N   0000035e   a00e8e93   00000360   x29_t4     0000b000
             114   N   00000360   dead0f37   00000364   x29_t4     0000aa00
             115   N   00000364   ffee9e2b   00000368   x30_t5     dead0000
